name,state,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,rank,state_name,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent,total_enrollment,ivy_league,tuition_avg
Adams State University,Colorado,CO,Public,4 Year,8782,9440,18222,20456,29238,16,Colorado,44400,81400,56,3,3154,0,23730
Agnes Scott College,Georgia,GA,Private,4 Year,12330,41160,53490,41160,53490,14,Georgia,46000,83600,57,26,873,0,53490
Alabama State University,Alabama,AL,Public,4 Year,5422,11068,16490,19396,24818,20,Alabama,39800,71500,61,16,5519,0,20654
Alaska Pacific University,Alaska,AK,Private,4 Year,7300,20830,28130,20830,28130,3,Alaska,50300,90000,67,6,579,0,28130
Albany College of Pharmacy and Health Sciences,New York,NY,Private,4 Year,10920,35105,46025,35105,46025,1,New-York,81000,144800,82,2,1563,0,46025
Albertus Magnus College,Connecticut,CT,Private,4 Year,13200,32060,45260,32060,45260,18,Connecticut,49700,85900,62,2,1550,0,45260
Albion College,Michigan,MI,Private,4 Year,12380,45775,58155,45775,58155,7,Michigan,52100,99300,44,23,1268,0,58155
Alcorn State University,Mississippi,MS,Public,4 Year,9608,7144,16752,7144,16752,10,Mississippi,40900,69500,67,19,3639,0,16752
Allen College,Iowa,IA,Private,4 Year,7282,19970,27252,19970,27252,5,Iowa,51600,91300,NA,0,575,0,27252
Alma College,Michigan,MI,Private,4 Year,10998,40258,51256,40258,51256,15,Michigan,48400,89900,52,15,1396,0,51256
Amherst College,Massachusetts,MA,Private,4 Year,14740,56426,71166,56426,71166,10,Massachusetts,63800,116500,45,32,1792,0,71166
Amridge University,Alabama,AL,Private,4 Year,NA,6900,6900,6900,6900,24,Alabama,35700,65900,NA,0,625,0,6900
Andrews University,Michigan,MI,Private,4 Year,9078,29288,38366,29288,38366,21,Michigan,47600,85000,51,7,3418,0,38366
Appalachian State University,North Carolina,NC,Public,4 Year,8304,7214,15518,22021,30325,15,North-Carolina,46600,82700,47,9,18026,0,22921.5
Arizona Christian University,Arizona,AZ,Private,4 Year,10674,26796,37470,26796,37470,5,Arizona,42600,76600,NA,7,737,0,37470
Arkansas Tech University,Arkansas,AR,Public,4 Year,7870,9068,16938,15848,23718,13,Arkansas,45000,76900,54,7,12002,0,20328
Asbury University,Kentucky,KY,Private,4 Year,7160,30198,37358,30198,37358,20,Kentucky,39400,70800,59,4,1879,0,37358
Athens State University,Alabama,AL,Public,4 Year,NA,6810,6810,12870,12870,15,Alabama,45000,78800,51,9,3128,0,9840
Auburn University,Alabama,AL,Public,4 Year,13332,11276,24608,30524,43856,1,Alabama,54400,104500,51,31,25912,0,34232
Auburn University at Montgomery,Alabama,AL,Public,4 Year,6980,10288,17268,22048,29028,13,Alabama,45000,79600,61,12,5057,0,23148
Augusta University,Georgia,GA,Public,4 Year,9640,10758,20398,29796,39436,13,Georgia,47000,84400,69,10,7988,0,29917
Austin Peay State University,Tennessee,TN,Public,4 Year,10700,8411,19111,24467,35167,20,Tennessee,44200,78200,63,10,10111,0,27139
Avila University,Missouri,MO,Private,4 Year,7200,19900,27100,19900,27100,17,Missouri,45900,81200,68,3,1907,0,27100
Babson College,Massachusetts,MA,Private,4 Year,16312,51104,67416,51104,67416,4,Massachusetts,72000,133800,37,0,3049,0,67416
Baker University,Kansas,KS,Private,4 Year,8410,29830,38240,29830,38240,10,Kansas,47800,84200,55,2,2957,0,38240
Ball State University,Indiana,IN,Public,4 Year,10234,9896,20130,26468,36702,22,Indiana,45600,83700,48,7,20655,0,28416
Barnard College,New York,NY,Private,4 Year,17225,55032,72257,55032,72257,19,New-York,59200,109800,57,19,2573,0,72257
Barry University,Florida,FL,Private,4 Year,11100,29850,40950,29850,40950,24,Florida,47400,84400,66,12,8518,0,40950
Barton College,North Carolina,NC,Private,4 Year,10120,30880,41000,30880,41000,24,North-Carolina,42400,77900,62,6,1035,0,41000
Bastyr University,Washington,WA,Private,4 Year,7590,26166,33756,26166,33756,22,Washington,48400,86300,NA,0,1202,0,33756
Bates College,Maine,ME,Private,4 Year,15224,53794,69018,53794,69018,3,Maine,59500,111900,50,23,1773,0,69018
Baylor University,Texas,TX,Private,4 Year,12595,45727,58322,45727,58322,12,Texas,55500,101400,49,16,16263,0,58322
Belhaven University,Mississippi,MS,Private,4 Year,8500,25300,33800,25300,33800,7,Mississippi,41200,74300,60,2,4114,0,33800
Bellarmine University,Kentucky,KY,Private,4 Year,12250,42200,54450,42200,54450,3,Kentucky,49000,90700,54,11,3609,0,54450
Bellevue College,Washington,WA,Public,2 Year,NA,4258,4258,9689,9689,18,Washington,50100,88500,56,14,13469,0,6973.5
Bellevue University,Nebraska,NE,Private,4 Year,8730,9390,18120,9390,18120,10,Nebraska,49400,84800,57,23,9879,0,18120
Bellin College,Wisconsin,WI,Private,4 Year,NA,22178,22178,22178,22178,6,Wisconsin,55800,97600,94,0,351,0,22178
Belmont Abbey College,North Carolina,NC,Private,4 Year,10355,18500,28855,18500,28855,14,North-Carolina,46700,82900,49,7,1560,0,28855
Belmont University,Tennessee,TN,Private,4 Year,12120,34310,46430,34310,46430,17,Tennessee,47300,80900,47,3,7244,0,46430
Beloit College,Wisconsin,WI,Private,4 Year,8830,50040,58870,50040,58870,17,Wisconsin,47400,85700,59,24,1303,0,58870
Benedict College,South Carolina,SC,Private,4 Year,6200,16600,22800,16600,22800,24,South-Carolina,38100,67500,61,19,2444,0,22800
Benedictine College,Kansas,KS,Private,4 Year,10300,29530,39830,29530,39830,3,Kansas,48700,91800,69,13,2138,0,39830
Bennington College,Vermont,VT,Private,4 Year,15610,54360,69970,54360,69970,6,Vermont,48800,90000,50,5,755,0,69970
Bentley University,Massachusetts,MA,Private,4 Year,16320,49880,66200,49880,66200,9,Massachusetts,66600,116600,36,7,5565,0,66200
Berea College,Kentucky,KY,Private,4 Year,6764,39990,46754,39990,46754,19,Kentucky,39500,71600,53,27,1621,0,46754
Berry College,Georgia,GA,Private,4 Year,12770,36556,49326,36556,49326,12,Georgia,44900,84900,44,21,2177,0,49326
Black Hills State University,South Dakota,SD,Public,4 Year,6978,8733,15711,11778,18756,10,South-Dakota,40400,72600,51,11,4489,0,17233.5
Bloomfield College,New Jersey,NJ,Private,4 Year,11950,29550,41500,29550,41500,23,New-Jersey,48400,89100,55,17,2004,0,41500
Bluefield State College,West Virginia,WV,Public,4 Year,NA,8820,8820,16920,16920,15,West-Virginia,43200,72800,60,3,1563,0,12870
Boise State University,Idaho,ID,Public,4 Year,10692,7694,18386,23776,34468,4,Idaho,50100,86400,55,14,22227,0,26427
Boston College,Massachusetts,MA,Private,4 Year,14478,55464,69942,55464,69942,11,Massachusetts,63600,115400,43,13,14317,0,69942
Boston University,Massachusetts,MA,Private,4 Year,15720,53948,69668,53948,69668,13,Massachusetts,61400,113600,43,25,32112,0,69668
Bowdoin College,Maine,ME,Private,4 Year,14698,53922,68620,53922,68620,2,Maine,61300,112000,54,37,1805,0,68620
Bowie State University,Maryland,MD,Public,4 Year,10904,8233,19137,18873,29777,18,Maryland,50300,89900,65,11,5695,0,24457
Bradley University,Illinois,IL,Private,4 Year,10620,33760,44380,33760,44380,6,Illinois,55600,104900,46,38,5300,0,44380
Brandeis University,Massachusetts,MA,Private,4 Year,15440,55395,70835,55395,70835,14,Massachusetts,60600,113200,48,29,5945,0,70835
Brescia University,Kentucky,KY,Private,4 Year,9200,22400,31600,22400,31600,10,Kentucky,44300,81200,53,7,1056,0,31600
Brown University,Rhode Island,RI,Private,4 Year,14670,55656,70326,55656,70326,1,Rhode-Island,68200,127600,45,43,9181,1,70326
Bryant University,Rhode Island,RI,Private,4 Year,15702,43973,59675,43973,59675,2,Rhode-Island,60500,108600,37,8,3462,0,59675
Bucknell University,Pennsylvania,PA,Private,4 Year,13662,56092,69754,56092,69754,5,Pennsylvania,66700,122900,40,40,3624,0,69754
Butler University,Indiana,IN,Private,4 Year,13830,41120,54950,41120,54950,7,Indiana,51800,99300,53,9,4848,0,54950
California Institute of Technology,California,CA,Private,4 Year,15525,52362,67887,52362,67887,3,California,84100,151600,53,97,2209,0,67887
Calvin College,Michigan,MI,Private,4 Year,10200,34600,44800,34600,44800,13,Michigan,50200,91100,54,23,3993,0,44800
Cameron University,Oklahoma,OK,Public,4 Year,5452,6450,11902,15870,21322,11,Oklahoma,43900,81500,54,14,5537,0,16612
Campbell University,North Carolina,NC,Private,4 Year,11430,32500,43930,32500,43930,16,North-Carolina,46300,82400,56,8,6101,0,43930
Campbellsville University,Kentucky,KY,Private,4 Year,8000,25400,33400,25400,33400,24,Kentucky,37600,66800,50,7,3427,0,33400
Cardinal Stritch University,Wisconsin,WI,Private,4 Year,8440,29998,38438,29998,38438,20,Wisconsin,47000,82500,51,2,3811,0,38438
Carleton College,Minnesota,MN,Private,4 Year,14085,54759,68844,54759,68844,1,Minnesota,58800,109900,47,45,2057,0,68844
